Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/31/1979,233.7,144.8,"45,160.3",117.4,267.1,379.3,"1,840.8",#N/A,#N/A,745.2,"139,739.3",856.1,"4,511.3",#N/A,#N/A,"108,235.8",#N/A,194.5,197.2
2/28/1979,251.3,154.6,"50,209.1",124.2,295.5,413.6,"2,011.7",#N/A,#N/A,827.8,"154,683.1",946.6,"4,985.7",#N/A,#N/A,"119,929.3",#N/A,209.4,219.6
3/30/1979,240.1,148.0,"50,274.3",116.2,278.2,406.2,"1,940.2",#N/A,#N/A,796.7,"148,844.2",910.4,"4,812.9",#N/A,#N/A,"116,123.6",#N/A,202.4,214.6
4/30/1979,245.3,152.8,"54,144.6",118.8,278.5,420.0,"2,013.1",#N/A,#N/A,819.4,"152,453.6",930.2,"4,891.0",#N/A,#N/A,"117,423.3",#N/A,206.9,221.1
5/31/1979,274.6,172.0,"61,057.1",132.7,321.6,478.0,"2,253.4",#N/A,#N/A,933.3,"171,656.1","1,048.4","5,560.8",#N/A,#N/A,"133,889.6",#N/A,233.7,250.7
6/29/1979,277.5,169.0,"60,161.4",127.3,322.6,457.7,"2,190.6",#N/A,#N/A,923.0,"166,854.4","1,049.8","5,477.3",#N/A,#N/A,"133,065.6",#N/A,232.3,245.5
7/31/1979,296.5,179.7,"63,972.9",131.9,345.2,490.6,"2,354.1",#N/A,#N/A,"1,023.3","189,817.0","1,156.0","6,147.7",#N/A,#N/A,"145,048.8",#N/A,248.8,262.8
8/31/1979,315.1,190.4,"69,957.5",139.9,370.4,526.4,"2,527.7",#N/A,#N/A,"1,052.2","196,888.0","1,189.0","6,424.5",#N/A,#N/A,"153,643.9",#N/A,265.4,281.6
9/28/1979,397.3,233.2,"89,088.5",180.4,460.7,616.5,"3,190.3",#N/A,#N/A,"1,306.8","242,994.8","1,474.4","7,894.9",#N/A,#N/A,"191,720.6",#N/A,327.2,351.7
10/31/1979,382.0,231.5,"90,261.1",184.0,449.3,631.0,"3,142.6",#N/A,#N/A,"1,298.6","239,598.9","1,455.9","7,808.0",#N/A,#N/A,"183,783.9",#N/A,315.5,346.9
11/30/1979,415.7,244.9,"104,134.1",189.0,488.1,667.2,"3,310.3",#N/A,#N/A,"1,392.3","258,912.7","1,532.6","8,260.5",#N/A,#N/A,"201,557.7",#N/A,345.7,381.4
12/31/1979,512.0,299.1,"125,630.3",230.6,611.8,835.6,"4,189.6",#N/A,#N/A,"1,749.0","324,101.3","2,055.9","10,645.2",#N/A,#N/A,"253,615.9",#N/A,434.1,474.3
1/31/1980,653.0,385.0,"159,889.7",288.1,774.1,"1,094.9","5,329.6",#N/A,#N/A,"2,266.5","421,828.9","2,490.5","13,763.8",#N/A,#N/A,"387,525.2",#N/A,546.1,603.8
2/29/1980,637.0,381.5,"161,056.0",280.3,732.6,"1,089.7","5,138.1",#N/A,#N/A,"2,151.2","400,528.2","2,393.3","13,036.5",#N/A,#N/A,"371,647.9",#N/A,516.8,583.7
3/31/1980,494.5,321.6,"125,800.0",228.5,599.5,931.9,"4,155.4",#N/A,#N/A,"1,683.5","316,964.8","1,890.5","10,312.8",#N/A,#N/A,"294,925.4",#N/A,407.5,465.2
4/30/1980,518.0,317.3,"124,139.1",229.4,616.1,865.5,"4,155.2",#N/A,#N/A,"1,756.3","329,451.4","1,963.2","10,712.7",#N/A,#N/A,"306,587.7",#N/A,415.1,465.2
5/30/1980,535.5,323.1,"118,403.7",228.4,615.4,880.4,"4,152.3",#N/A,#N/A,"1,722.2","323,825.6","1,923.9","10,526.0",#N/A,#N/A,"316,820.6",#N/A,416.2,463.6
6/30/1980,653.5,392.7,"145,558.9",277.3,762.4,"1,078.9","5,150.4",#N/A,#N/A,"2,204.1","414,677.6","2,451.5","13,466.5",#N/A,#N/A,"399,487.4",#N/A,509.8,573.4
7/31/1980,614.3,372.4,"140,586.5",262.2,718.1,"1,019.5","4,813.2",#N/A,#N/A,"2,094.3","394,486.3","2,329.0","12,792.6",#N/A,#N/A,"378,648.5",#N/A,471.5,537.0
8/29/1980,631.3,386.5,"138,824.3",263.4,733.3,"1,045.0","4,903.6",#N/A,#N/A,"2,078.4","391,180.5","2,308.5","12,745.4",#N/A,#N/A,"390,549.1",#N/A,479.8,543.8
9/30/1980,666.8,412.8,"141,296.4",279.3,783.9,"1,107.6","5,211.3",#N/A,#N/A,"2,225.4","419,188.7","2,472.3","13,638.5",#N/A,#N/A,"418,750.0",#N/A,504.8,572.1
10/31/1980,629.0,404.9,"134,300.0",258.2,748.0,"1,088.5","4,911.2",#N/A,#N/A,"2,111.7","398,885.5","2,357.1","12,999.3",#N/A,#N/A,"414,417.5",#N/A,477.2,542.2
11/28/1980,619.8,406.7,"134,552.9",262.8,738.7,"1,082.0","4,871.9",#N/A,#N/A,"2,061.1","385,638.4","2,269.3","12,677.8",#N/A,#N/A,"409,443.9",#N/A,466.6,533.9
12/31/1980,589.8,392.4,"119,823.1",246.7,703.7,"1,047.8","4,620.3",#N/A,#N/A,"1,960.1","367,506.8","2,149.9","12,026.7",#N/A,#N/A,"389,010.8",#N/A,439.1,499.4
1/30/1981,506.5,363.3,"104,952.0",214.0,605.7,979.8,"4,123.2",#N/A,#N/A,"1,700.2","322,681.9","1,897.5","10,623.8",#N/A,#N/A,"337,842.7",#N/A,385.6,435.7
2/27/1981,489.0,358.0,"102,819.8",221.8,588.6,962.6,"4,082.9",#N/A,#N/A,"1,645.1","315,684.5","1,849.6","10,333.1",#N/A,#N/A,"328,679.1",#N/A,383.8,424.2
3/31/1981,513.8,375.1,"108,590.3",228.9,609.5,988.5,"4,240.5",#N/A,#N/A,"1,722.8","319,803.1","1,880.9","10,481.0",#N/A,#N/A,"345,953.6",#N/A,410.8,440.1
4/30/1981,482.8,369.7,"103,761.7",225.5,575.6,971.3,"3,998.5",#N/A,#N/A,"1,611.2","306,365.5","1,788.7","9,999.8",#N/A,#N/A,"326,551.0",#N/A,394.2,418.9
5/29/1981,479.3,386.1,"107,187.2",231.5,576.1,993.2,"4,046.5",#N/A,#N/A,"1,628.0","300,077.8","1,762.2","9,967.1",#N/A,#N/A,"327,334.8",#N/A,405.4,420.2
6/30/1981,426.0,353.4,"95,631.8",220.7,505.8,862.4,"3,703.8",#N/A,#N/A,"1,447.6","267,801.7","1,565.5","8,820.8",#N/A,#N/A,"288,769.6",#N/A,373.6,366.7
7/31/1981,406.0,346.9,"97,366.9",220.5,500.3,870.3,"3,655.1",#N/A,#N/A,"1,395.0","259,920.1","1,516.1","9,395.6",#N/A,#N/A,"278,331.8",#N/A,386.3,357.0
8/31/1981,425.0,362.5,"97,572.7",229.9,511.2,906.7,"3,820.1",#N/A,#N/A,"1,445.2","266,472.5","1,551.0","9,711.3",#N/A,#N/A,"291,090.1",#N/A,401.9,370.6
9/30/1981,428.8,349.9,"99,122.9",237.5,514.4,842.4,"3,870.4",#N/A,#N/A,"1,450.8","263,485.1","1,533.5","9,593.3",#N/A,#N/A,"292,365.9",#N/A,407.2,372.6
10/30/1981,427.0,347.0,"99,984.8",229.6,515.8,785.4,"3,876.4",#N/A,#N/A,"1,455.4","262,289.9","1,536.1","9,516.4",#N/A,#N/A,"290,947.8",#N/A,413.3,374.6
11/30/1981,414.5,332.9,"88,997.8",212.0,488.9,735.4,"3,815.0",#N/A,#N/A,"1,426.1","263,773.4","1,532.4","9,542.7",#N/A,#N/A,"286,653.3",#N/A,399.1,361.0
12/31/1981,397.5,327.5,"87,899.5",208.2,475.3,719.8,"3,625.1",#N/A,#N/A,"1,372.5","249,492.1","1,456.3","9,089.6",#N/A,#N/A,"280,200.1",#N/A,383.1,355.0
