Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,214.1,132.1,#N/A,107.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/30/1979,238.1,146.6,"47,981.2",118.1,282.0,398.5,"1,944.0",#N/A,#N/A,794.7,"148,515.9",910.7,"4,800.9",#N/A,#N/A,"115,233.4",#N/A,203.5,210.2
6/29/1979,259.3,161.3,"56,555.9",124.5,300.6,444.5,"2,114.6",#N/A,#N/A,878.4,"161,455.6",991.7,"5,226.6",#N/A,#N/A,"124,572.2",#N/A,219.2,233.9
9/28/1979,315.7,190.2,"69,090.6",141.6,368.0,517.0,"2,517.7",#N/A,#N/A,"1,061.0","197,436.4","1,195.6","6,420.3",#N/A,#N/A,"153,057.5",#N/A,264.1,279.9
12/31/1979,408.4,243.8,"98,086.0",189.5,483.4,668.8,"3,347.6",#N/A,#N/A,"1,384.4","257,354.3","1,555.9","8,345.5",#N/A,#N/A,"199,028.3",#N/A,340.6,372.8
3/31/1980,632.1,377.3,"153,675.4",280.0,735.2,"1,048.1","5,056.8",#N/A,#N/A,"2,118.4","395,080.0","2,374.1","12,843.5",#N/A,#N/A,"345,200.6",#N/A,515.1,573.3
6/30/1980,544.9,333.9,"125,836.5",238.2,637.0,915.5,"4,316.2",#N/A,#N/A,"1,808.4","339,368.4","2,021.2","11,058.1",#N/A,#N/A,"319,207.2",#N/A,430.3,483.5
9/30/1980,648.9,393.4,"142,597.1",272.4,752.1,"1,059.8","5,034.9",#N/A,#N/A,"2,152.4","405,634.4","2,393.3","13,178.5",#N/A,#N/A,"394,163.0",#N/A,493.0,558.4
12/31/1980,628.7,406.7,"132,265.5",263.2,743.0,"1,081.0","4,891.6",#N/A,#N/A,"2,086.4","392,763.4","2,311.1","12,825.9",#N/A,#N/A,"406,064.0",#N/A,472.2,536.9
3/31/1981,518.0,369.0,"106,709.1",224.3,619.1,983.8,"4,207.3",#N/A,#N/A,"1,731.7","324,261.5","1,900.4","10,622.6",#N/A,#N/A,"346,351.8",#N/A,399.9,443.9
6/30/1981,478.2,377.6,"105,214.9",230.4,573.1,974.9,"4,034.5",#N/A,#N/A,"1,615.5","301,984.7","1,780.1","9,937.0",#N/A,#N/A,"335,377.1",#N/A,401.4,417.8
9/30/1981,421.4,355.6,"97,544.0",229.5,510.0,881.9,"3,794.8",#N/A,#N/A,"1,439.5","265,870.4","1,550.8","9,466.7",#N/A,#N/A,"294,253.2",#N/A,395.7,368.3
12/31/1981,421.0,341.8,"94,499.4",224.0,501.5,769.4,"3,840.7",#N/A,#N/A,"1,438.1","265,305.6","1,543.6","9,632.3",#N/A,#N/A,"286,705.3",#N/A,404.7,368.6
3/31/1982,361.3,308.5,"84,485.8",195.7,436.7,677.7,"3,324.4",#N/A,#N/A,"1,235.9","231,617.6","1,331.5","8,292.5",#N/A,#N/A,"258,579.2",#N/A,357.4,332.8
6/30/1982,332.4,296.1,"81,234.0",186.9,413.7,664.7,"3,112.4",#N/A,#N/A,"1,140.4","217,110.9","1,222.0","7,608.6",#N/A,#N/A,"242,318.8",#N/A,358.4,317.4
9/30/1982,380.4,360.1,"98,481.0",220.6,474.5,804.1,"3,641.6",#N/A,#N/A,"1,307.9","251,448.3","1,396.7","8,711.1",#N/A,#N/A,"284,060.1",#N/A,436.6,387.6
12/31/1982,426.4,416.9,"110,918.8",258.5,524.5,914.2,"4,137.9",#N/A,#N/A,"1,466.0","290,120.8","1,565.2","9,749.6",#N/A,#N/A,"320,023.2",#N/A,481.5,448.6
3/31/1983,462.0,443.8,"109,390.2",301.8,568.6,935.5,"4,577.1",#N/A,0.1,"1,594.4","324,394.3","1,706.9","10,624.0",#N/A,#N/A,"359,263.5",#N/A,502.7,492.2
6/30/1983,427.3,433.1,"101,510.3",275.0,526.0,887.4,"4,271.2",#N/A,0.1,"1,475.5","414,545.5","1,567.9","9,772.6",#N/A,#N/A,"327,720.1",#N/A,465.4,488.5
9/30/1983,416.8,452.1,"101,150.6",276.1,513.8,896.1,"4,229.7",#N/A,0.1,"1,445.6","409,536.7","1,532.7","9,570.2",#N/A,#N/A,"327,693.9",#N/A,462.3,473.3
12/30/1983,387.7,429.6,"90,804.1",263.6,479.9,837.5,"4,009.9",#N/A,0.1,"1,350.3","383,499.8","1,425.8","8,893.3",#N/A,#N/A,"310,689.5",#N/A,455.6,425.6
3/30/1984,383.9,431.6,"88,632.8",267.4,482.2,843.4,"4,110.2",#N/A,0.1,"1,347.8","381,520.5","1,407.2","8,796.7",#N/A,#N/A,"308,324.2",#N/A,473.4,412.1
6/29/1984,378.7,428.0,"87,126.4",271.4,489.6,851.9,"4,144.2",#N/A,0.1,"1,333.1","382,629.9","1,389.1","8,715.4",#N/A,#N/A,"303,964.1",#N/A,484.5,419.6
9/28/1984,345.6,419.2,"84,048.2",266.0,453.5,842.5,"3,983.9",#N/A,0.1,"1,218.5","359,324.2","1,276.1","7,941.4",#N/A,#N/A,"284,225.7",#N/A,543.5,412.2
12/31/1984,335.0,425.0,"82,303.3",274.7,441.4,841.0,"4,036.4",#N/A,0.1,"1,192.3","356,094.8","1,229.0","8,397.6",#N/A,#N/A,"273,783.3",#N/A,606.0,396.0
3/29/1985,302.0,408.4,"77,697.7",270.6,408.4,830.5,"3,845.6",850.7,0.1,"1,084.4","327,257.2","1,102.3","8,213.1",#N/A,#N/A,"253,851.6",#N/A,616.4,403.6
6/28/1985,319.3,413.3,"80,007.2",254.0,436.9,826.7,"3,944.6",907.7,0.2,"1,156.2","354,525.4","1,173.9","8,658.0",#N/A,#N/A,"275,046.0",#N/A,626.5,477.8
