Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/30/1979,240.1,148.0,"50,274.3",116.2,278.2,406.2,"1,940.2",#N/A,#N/A,796.7,"148,844.2",910.4,"4,812.9",#N/A,#N/A,"116,123.6",#N/A,202.4,214.6
6/29/1979,277.5,169.0,"60,161.4",127.3,322.6,457.7,"2,190.6",#N/A,#N/A,923.0,"166,854.4","1,049.8","5,477.3",#N/A,#N/A,"133,065.6",#N/A,232.3,245.5
9/28/1979,397.3,233.2,"89,088.5",180.4,460.7,616.5,"3,190.3",#N/A,#N/A,"1,306.8","242,994.8","1,474.4","7,894.9",#N/A,#N/A,"191,720.6",#N/A,327.2,351.7
12/31/1979,512.0,299.1,"125,630.3",230.6,611.8,835.6,"4,189.6",#N/A,#N/A,"1,749.0","324,101.3","2,055.9","10,645.2",#N/A,#N/A,"253,615.9",#N/A,434.1,474.3
3/31/1980,494.5,321.6,"125,800.0",228.5,599.5,931.9,"4,155.4",#N/A,#N/A,"1,683.5","316,964.8","1,890.5","10,312.8",#N/A,#N/A,"294,925.4",#N/A,407.5,465.2
6/30/1980,653.5,392.7,"145,558.9",277.3,762.4,"1,078.9","5,150.4",#N/A,#N/A,"2,204.1","414,677.6","2,451.5","13,466.5",#N/A,#N/A,"399,487.4",#N/A,509.8,573.4
9/30/1980,666.8,412.8,"141,296.4",279.3,783.9,"1,107.6","5,211.3",#N/A,#N/A,"2,225.4","419,188.7","2,472.3","13,638.5",#N/A,#N/A,"418,750.0",#N/A,504.8,572.1
12/31/1980,589.8,392.4,"119,823.1",246.7,703.7,"1,047.8","4,620.3",#N/A,#N/A,"1,960.1","367,506.8","2,149.9","12,026.7",#N/A,#N/A,"389,010.8",#N/A,439.1,499.4
3/31/1981,513.8,375.1,"108,590.3",228.9,609.5,988.5,"4,240.5",#N/A,#N/A,"1,722.8","319,803.1","1,880.9","10,481.0",#N/A,#N/A,"345,953.6",#N/A,410.8,440.1
6/30/1981,426.0,353.4,"95,631.8",220.7,505.8,862.4,"3,703.8",#N/A,#N/A,"1,447.6","267,801.7","1,565.5","8,820.8",#N/A,#N/A,"288,769.6",#N/A,373.6,366.7
9/30/1981,428.8,349.9,"99,122.9",237.5,514.4,842.4,"3,870.4",#N/A,#N/A,"1,450.8","263,485.1","1,533.5","9,593.3",#N/A,#N/A,"292,365.9",#N/A,407.2,372.6
12/31/1981,397.5,327.5,"87,899.5",208.2,475.3,719.8,"3,625.1",#N/A,#N/A,"1,372.5","249,492.1","1,456.3","9,089.6",#N/A,#N/A,"280,200.1",#N/A,383.1,355.0
3/31/1982,320.0,285.7,"79,495.5",179.6,394.1,619.6,"2,987.6",#N/A,#N/A,"1,091.7","207,452.8","1,178.0","7,365.0",#N/A,#N/A,"230,215.1",#N/A,338.0,305.7
6/30/1982,317.5,301.0,"79,918.3",182.1,404.1,656.9,"2,971.9",#N/A,#N/A,"1,080.5","202,249.5","1,131.0","7,086.8",#N/A,#N/A,"232,610.9",#N/A,354.9,306.4
9/30/1982,397.0,383.4,"105,866.8",234.3,487.5,857.2,"3,824.8",#N/A,#N/A,"1,356.5","265,365.9","1,455.8","9,061.0",#N/A,#N/A,"293,222.6",#N/A,456.2,415.7
12/31/1982,456.9,429.9,"105,366.4",282.5,551.2,899.8,"4,320.0",#N/A,0.1,"1,543.1","310,012.9","1,642.3","10,240.0",#N/A,#N/A,"335,836.8",#N/A,482.6,456.8
3/31/1983,414.8,410.9,"98,978.0",279.6,510.7,863.4,"4,104.3",#N/A,0.1,"1,427.4","285,570.5","1,489.6","9,437.1",#N/A,#N/A,"316,200.1",#N/A,453.9,477.0
6/30/1983,416.0,431.7,"99,204.6",271.9,513.3,872.9,"4,183.6",#N/A,0.1,"1,433.3","410,375.4","1,545.3","9,614.1",#N/A,#N/A,"323,650.9",#N/A,456.9,476.1
9/30/1983,405.0,440.9,"95,265.3",270.5,497.8,857.5,"4,123.3",#N/A,0.1,"1,404.2","399,655.3","1,490.0","9,310.6",#N/A,#N/A,"318,877.1",#N/A,445.6,450.2
12/30/1983,382.4,432.0,"88,442.8",263.5,474.5,831.9,"3,995.0",#N/A,0.1,"1,334.4","380,175.3","1,368.8","8,699.7",#N/A,#N/A,"303,482.9",#N/A,466.4,424.3
3/30/1984,388.5,421.4,"87,261.1",269.3,496.0,836.3,"4,169.1",#N/A,0.1,"1,366.8","388,109.9","1,426.3","8,914.6",#N/A,#N/A,"307,614.3",#N/A,480.1,415.2
6/29/1984,373.1,431.9,"89,063.3",275.0,494.7,874.7,"4,178.2",#N/A,0.1,"1,317.7","378,159.6","1,373.8","8,527.4",#N/A,#N/A,"301,435.4",#N/A,508.4,435.1
9/28/1984,343.8,436.4,"84,562.2",278.3,453.2,866.5,"4,140.0",#N/A,0.1,"1,226.8","369,385.0","1,285.3","8,029.9",#N/A,#N/A,"280,510.0",#N/A,574.9,414.6
12/31/1984,308.3,402.5,"77,716.7",266.0,408.2,803.8,"3,825.9",#N/A,0.1,"1,106.4","331,867.4","1,134.4","8,219.4",#N/A,#N/A,"255,666.7",#N/A,612.8,374.1
3/29/1985,329.3,425.7,"82,616.6",266.1,449.7,856.8,"4,001.6",892.2,0.2,"1,183.8","344,772.5","1,144.1","8,514.8",#N/A,#N/A,"280,428.8",#N/A,618.0,472.0
6/28/1985,317.8,405.0,"78,952.5",242.6,431.9,807.1,"3,874.7",898.6,0.2,"1,156.0","348,424.2","1,146.1","8,513.8",#N/A,#N/A,"277,650.0",#N/A,622.8,473.7
9/30/1985,325.8,375.9,"70,455.9",231.2,445.2,715.0,"3,826.2",963.1,0.2,"1,184.6","364,130.6","1,191.6","8,369.2",#N/A,#N/A,"290,471.2",#N/A,830.4,459.3
12/31/1985,326.8,347.5,"65,490.6",226.1,457.2,673.6,"3,920.6","1,047.4",0.2,"1,193.6","366,475.7","1,196.7","8,614.4",#N/A,#N/A,"291,095.5",#N/A,843.9,479.6
3/31/1986,344.0,348.0,"61,718.4",231.8,480.1,669.9,"4,172.5","1,099.0",0.2,"1,251.8","387,262.4","1,259.7","8,947.7",#N/A,#N/A,"303,244.2",#N/A,721.0,481.9
6/30/1986,346.8,336.2,"56,735.8",226.3,480.8,622.7,"4,276.4","1,101.7",0.2,"1,292.4","393,070.3","1,274.4","9,050.6",#N/A,#N/A,"307,330.5",#N/A,864.1,515.8
9/30/1986,423.2,383.6,"65,330.3",292.5,587.9,696.9,"5,376.9","1,572.9",0.3,"1,586.6","691,787.2","1,554.1","10,851.8",#N/A,#N/A,"369,087.5",#N/A,941.5,673.6
12/31/1986,388.8,337.8,"61,832.1",262.2,540.0,630.2,"5,061.0","1,430.9",0.3,"1,465.8","632,246.1","1,434.4","9,953.8",#N/A,#N/A,"333,768.3",#N/A,851.2,587.4
3/31/1987,421.0,346.7,"61,445.0",262.3,549.9,635.4,"5,419.5","1,566.1",0.3,"1,576.0","697,007.0","1,543.5","10,820.1",#N/A,#N/A,"356,768.1",#N/A,848.2,595.8
6/30/1987,447.3,373.3,"65,632.6",277.2,594.8,677.8,"5,727.8","1,678.3",0.4,"1,678.0","737,569.4","1,643.5","11,504.8",#N/A,#N/A,"358,907.2",#N/A,915.5,620.3
9/30/1987,459.5,384.7,"66,604.9",282.7,595.1,698.2,"5,954.3","1,721.8",0.4,"1,709.3","756,913.8","1,673.9","11,669.8",#N/A,#N/A,"366,900.4",#N/A,945.3,639.0
12/31/1987,484.1,351.8,"58,714.4",257.7,629.5,616.8,"6,116.9","1,758.9",0.5,"1,820.3","776,608.7","1,781.5","11,789.2",#N/A,#N/A,"379,396.7",#N/A,934.3,669.6
3/31/1988,457.0,347.7,"56,689.0",242.0,563.0,623.2,"6,171.1","1,684.9",0.5,"1,709.4","755,387.8","1,673.7","11,616.1",#N/A,#N/A,"338,778.8",#N/A,965.9,614.7
6/30/1988,436.6,364.4,"58,268.2",255.6,529.3,658.1,"6,143.3","1,641.4",0.6,"1,634.6","741,140.9","1,600.6","11,117.0",#N/A,#N/A,"319,114.2",#N/A,"1,012.5",552.3
9/30/1988,396.7,341.8,"53,617.9",234.6,487.2,633.8,"5,773.7","1,479.4",0.6,"1,496.9","673,950.1","1,465.9","10,202.8",#N/A,#N/A,"286,281.8",#N/A,996.8,508.1
12/30/1988,410.3,332.7,"51,253.0",226.8,488.5,616.2,"6,123.1","1,516.9",0.8,"1,537.1","704,545.5","1,505.6","10,261.9",#N/A,966.3,"277,911.2",#N/A,976.1,479.8
3/31/1989,383.2,329.4,"50,605.3",227.0,456.5,635.1,"5,942.8","1,452.5",0.8,"1,433.2","687,149.4","1,403.4","9,713.5",#N/A,946.2,"257,102.0",#N/A,978.6,466.5
6/30/1989,373.0,330.9,"53,698.5",240.8,446.7,626.1,"6,142.9","1,403.1",0.8,"1,397.8","664,356.7","1,369.0","9,644.1",#N/A,968.7,"247,982.4",#N/A,"1,036.8",495.0
9/29/1989,366.5,312.4,"51,173.9",226.9,432.3,594.6,"6,115.9","1,326.6",0.8,"1,382.7","647,270.9","1,353.9","9,463.2",#N/A,943.1,"244,908.3",#N/A,988.6,473.1
12/29/1989,398.6,310.7,"57,287.2",247.2,461.6,614.9,"6,624.8","1,873.5",0.9,"1,490.3","715,762.5","1,459.4","10,036.1","1,800,931.7","1,018.4","269,064.4",#N/A,"1,015.7",504.6
3/30/1990,368.5,283.9,"57,987.1",223.7,431.0,550.8,"6,334.4","1,717.1",0.9,"1,376.8","652,783.7","1,348.1","9,506.1","1,622,520.2",947.3,"257,424.6",#N/A,976.9,488.4
6/29/1990,352.2,265.9,"53,602.3",201.9,410.7,498.7,"6,140.5","1,652.2",0.9,"1,317.0","643,678.6","1,289.7","9,085.1","1,571,727.9",946.9,"251,163.5",#N/A,936.0,444.5
9/28/1990,408.4,291.9,"56,458.8",218.0,471.4,530.3,"7,333.1","1,937.9",1.1,"1,531.7","750,542.5","1,499.5","10,321.7","1,841,723.5","1,111.7","291,580.3",#N/A,"1,045.6",493.7
12/31/1990,386.2,265.7,"53,028.2",200.1,453.8,498.4,"6,948.9","2,039.2",1.1,"1,454.9","743,695.8","1,425.0","9,633.2","2,543,477.4","1,116.8","279,605.7",#N/A,"1,000.3",506.5
3/29/1991,355.7,279.8,"50,208.2",204.5,411.3,517.4,"6,942.2","1,914.9",1.3,"1,328.8","703,234.4","1,301.4","9,121.3","2,652,360.9","1,192.0","258,393.5",#N/A,971.9,457.7
6/28/1991,368.4,308.5,"50,793.2",227.5,420.9,573.9,"7,785.6","1,993.5",1.6,"1,389.2","720,144.0","1,360.3","9,469.3","3,050,151.2","1,185.3","269,465.6",#N/A,"1,063.9",480.5
9/30/1991,354.9,273.6,"47,121.0",202.5,401.2,514.2,"9,120.5","1,889.6",1.7,"1,336.0","698,068.3","1,303.4","9,039.5","3,739,925.1","1,174.2","262,333.6",#N/A,993.3,443.0
12/31/1991,353.2,250.3,"44,151.4",188.8,408.5,478.8,"9,080.6","1,900.6",1.8,"1,321.0","706,524.6","1,293.7","8,922.8","4,586,186.2","1,171.1","268,147.8",#N/A,968.5,465.1
3/31/1992,341.7,261.7,"45,481.3",196.9,406.8,512.9,"9,913.3","1,876.5",2.1,"1,281.1","691,011.2","1,254.6","8,732.0","3,793,965.2","1,146.6","264,928.4",#N/A,985.3,445.0
6/30/1992,343.4,243.1,"43,240.7",180.4,410.8,472.1,"9,838.5","1,837.3",2.4,"1,286.5","699,544.4","1,259.8","8,678.8","3,855,172.1","1,138.7","271,352.0",#N/A,951.8,459.3
9/30/1992,349.0,241.3,"41,874.1",195.9,435.5,431.0,"9,903.8","1,847.3",2.5,"1,315.1","715,105.3","1,287.8","8,735.3","3,685,588.9","1,153.4","275,448.5",#N/A,974.0,487.3
12/31/1992,332.9,266.7,"41,576.2",219.9,425.3,487.8,"9,639.3","1,931.5",2.9,"1,249.8","685,837.3","1,224.0","8,436.2","3,611,720.4","1,108.5","262,056.7",#N/A,"1,017.8",484.7
3/31/1993,337.8,275.0,"38,817.3",224.4,424.5,504.9,"10,539.9","1,910.6",3.2,"1,265.8","695,490.7","1,239.8","8,555.5","3,509,393.2","1,130.2","265,808.4",227.2,"1,073.0",477.7
6/30/1993,378.5,321.1,"40,417.0",253.4,485.5,571.4,"11,869.9","2,157.0",4.1,"1,435.8","802,263.3","1,406.0","9,578.4","3,986,029.8","1,270.3","307,523.9",397.8,"1,273.7",573.6
9/30/1993,355.5,298.7,"37,737.0",237.7,474.8,508.1,"11,159.0","2,083.0",4.4,"1,342.5","759,562.6","1,314.3","9,054.5","3,868,901.2","1,193.0","289,915.0",365.3,"1,230.1",555.5
12/31/1993,391.8,348.2,"43,592.9",264.8,517.1,580.1,"12,252.6","2,265.5",5.8,"1,465.0","824,654.2","1,432.0","9,977.9","4,226,900.8","1,316.7","315,272.6",486.1,"1,327.2",575.5
