Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/5/1979,225.5,138.4,"44,582.5",111.6,268.4,373.7,"1,843.6",#N/A,#N/A,756.4,"142,069.1",875.4,"4,580.6",#N/A,#N/A,"110,510.4",#N/A,196.4,197.9
1/12/1979,217.6,134.1,"42,837.1",109.0,257.2,364.6,"1,782.6",#N/A,#N/A,727.1,"137,371.8",842.1,"4,429.1",#N/A,#N/A,"106,856.6",#N/A,187.1,189.8
1/19/1979,230.6,141.1,"46,908.8",115.1,280.9,396.1,"1,940.8",#N/A,#N/A,782.1,"147,159.4",899.1,"4,764.4",#N/A,#N/A,"116,335.5",#N/A,206.5,207.6
1/26/1979,235.5,144.6,"46,801.3",118.0,279.6,394.6,"1,929.3",#N/A,#N/A,782.2,"146,687.1",899.6,"4,752.9",#N/A,#N/A,"115,646.5",#N/A,204.3,206.0
2/2/1979,230.3,143.5,"46,328.3",116.3,275.5,393.0,"1,907.4",#N/A,#N/A,772.1,"144,790.6",887.1,"4,674.3",#N/A,#N/A,"112,148.3",#N/A,199.4,203.5
2/9/1979,246.8,151.3,"48,548.6",123.3,291.4,405.7,"2,000.9",#N/A,#N/A,812.6,"151,432.5",923.5,"4,869.8",#N/A,#N/A,"117,670.3",#N/A,208.8,214.7
2/16/1979,247.1,152.2,"49,351.9",123.3,293.5,411.9,"2,016.7",#N/A,#N/A,828.7,"153,764.4",947.8,"4,964.7",#N/A,#N/A,"118,576.0",#N/A,210.0,217.2
2/23/1979,251.0,154.4,"50,405.4",124.8,299.4,418.0,"2,042.0",#N/A,#N/A,837.8,"155,613.4",957.1,"5,074.7",#N/A,#N/A,"120,061.9",#N/A,211.7,221.3
3/2/1979,248.0,152.8,"50,920.8",122.7,295.0,417.3,"2,020.5",#N/A,#N/A,831.5,"155,360.1",950.8,"5,007.5",#N/A,#N/A,"120,454.2",#N/A,210.0,221.3
3/9/1979,241.0,148.4,"49,315.2",118.2,284.1,401.7,"1,938.1",#N/A,#N/A,799.9,"149,132.5",913.2,"4,814.1",#N/A,#N/A,"115,539.8",#N/A,202.7,213.8
3/16/1979,244.0,150.8,"49,687.0",120.2,280.8,403.1,"1,972.9",#N/A,#N/A,805.6,"150,461.7",923.6,"4,862.0",#N/A,#N/A,"115,512.7",#N/A,202.3,214.0
3/23/1979,242.5,149.7,"49,816.2",119.0,282.7,409.1,"1,987.5",#N/A,#N/A,809.2,"150,273.2",924.4,"4,875.6",#N/A,#N/A,"116,365.5",#N/A,204.0,215.8
3/30/1979,240.1,148.0,"50,274.3",116.2,278.2,406.2,"1,940.2",#N/A,#N/A,796.7,"148,844.2",910.4,"4,812.9",#N/A,#N/A,"116,123.6",#N/A,202.4,214.6
4/6/1979,239.8,148.5,"51,488.4",114.9,275.8,410.0,"1,922.7",#N/A,#N/A,799.9,"148,511.8",913.7,"4,801.5",#N/A,#N/A,"115,078.7",#N/A,203.4,216.1
4/13/1979,234.0,145.9,"50,311.2",112.4,267.7,403.4,"1,917.6",#N/A,#N/A,824.3,"146,059.8",900.7,"4,740.5",#N/A,#N/A,"112,447.7",#N/A,198.5,211.2
4/20/1979,236.4,147.7,"51,974.4",114.3,271.2,410.4,"1,965.6",#N/A,#N/A,844.9,"149,718.5",920.9,"4,859.3",#N/A,#N/A,"115,264.5",#N/A,201.7,215.3
4/27/1979,243.7,151.2,"53,323.2",118.6,277.2,416.3,"2,016.6",#N/A,#N/A,825.5,"152,682.6",937.7,"4,938.7",#N/A,#N/A,"118,255.7",#N/A,205.2,219.9
5/4/1979,248.5,154.5,"54,691.3",119.6,284.4,426.3,"2,034.5",#N/A,#N/A,838.8,"154,750.1",940.1,"5,002.4",#N/A,#N/A,"118,673.5",#N/A,209.1,224.3
